,Vote,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social
0,10,-0.5582857142857143,0.45801927107555207,1.6001091416117073,1.6638763726963168,-0.9617936112953999,-0.4926395922351381,-2.26519373327461,-1.720902441699624,0,0,1,0,0,0,0,0
1,1,-0.6942857142857143,-0.666151450358131,2.0771135951946,0.103033536509111,-0.8337935854289329,-2.042352077521731,-1.9062511080935705,-1.8552123721776046,0,0,1,0,0,0,0,0
2,2,0.5142857142857142,-0.29142787654690333,-0.2800915856227619,-1.2969289606700787,0.12929153628651502,0.5743423365045546,0.14288739506219153,-0.6994977933712645,0,0,0,0,1,0,0,0
5,8,-0.8260000000000001,-1.0408750241693587,-0.585399598289484,0.734109432353763,-0.07928813696848297,0.3464267491563101,-0.03579426074734921,0.8714186524803921,0,0,0,0,0,0,1,0
6,9,-0.3425714285714285,0.8327428448867797,-0.6977517249205051,-0.3865890801322666,0.43393624857221436,0.5561061021168832,-0.2017283127556226,0.03276285931555911,1,0,0,0,0,0,0,0
8,9,-0.8462857142857143,0.8327428448867797,-0.9834139155517969,0.14856570792647417,-0.9794012506534631,0.19575768767906482,-0.08766242120935754,-0.030882417704794485,0,1,0,0,0,0,0,0
9,7,-0.8154285714285714,1.582189992509235,1.7382134327981869,1.9370694012004954,0.3144962226220084,-2.1005248840767017,-1.856956815540448,-1.2373243891203343,1,0,0,0,0,0,0,0
10,3,0.5057142857142858,-2.1650457456030416,-1.0270350768904126,-0.6807269074884319,0.9196171009085895,-0.21550918116869086,0.22625019293607007,-0.08302877241056598,0,0,0,0,0,1,0,0
11,1,0.8102857142857143,0.45801927107555207,1.8579305863633022,0.20988236543518948,-0.9125387121645179,-1.9200615050408394,1.471413102204299,-1.8233003709062157,1,0,0,0,0,0,0,0
12,9,-0.37228571428571433,0.08329569726432437,-0.6722497937441061,-0.3550201079495615,0.12600133168401767,0.11481899300501254,-0.35548794463347233,-0.29270502802642634,0,0,1,0,0,0,0,0
14,0,0.8494285714285714,1.2074664186980075,1.0115641699051245,-0.4387993033575095,1.8610945569960362,-0.8013111521938276,1.8464916455175417,-1.4533385300504709,0,0,0,0,1,0,0,0
15,9,0.1657142857142857,0.08329569726432437,-0.9017536894429501,-0.9266006331421925,-0.32272890490149714,0.11159545239266225,-0.31742277619706233,0.06188159695452498,0,0,1,0,0,0,0,0
17,10,-0.276,1.582189992509235,-0.27213157284520534,1.3639711369606184,-0.1600736915112543,-0.207348440325707,-0.3257926267659764,-0.7648887527035515,0,1,0,0,0,0,0,0
18,9,-0.49428571428571433,1.582189992509235,-0.4078000854384294,-0.2254051933148012,-0.6113692719228354,-0.11511171516735165,-0.33161781939261603,-0.6281304784360894,1,0,0,0,0,0,0,0
19,4,0.5465714285714285,-0.666151450358131,-0.9501810071963209,-1.3312298631378257,-0.9339164534518297,-0.2378401894811938,-0.18001305942286483,0.008960158076759438,1,0,0,0,0,0,0,0
20,8,0.29428571428571426,0.08329569726432437,-0.86306941092583,-0.4561015284961076,-1.0878684294869556,0.4770411483769896,-0.004269859696218288,0.15002797957456404,0,0,0,0,0,0,1,0
22,8,0.46685714285714286,-0.29142787654690333,-0.7518158065455219,-0.6394444054033561,1.1401982489745983,0.09058700331713691,0.22695512327070513,-0.39697783032579725,0,0,0,1,0,0,0,0
23,1,0.8657142857142857,1.582189992509235,1.4604294153305972,0.1509940904020666,-0.5951010137055621,-1.7210742684357796,-1.5227253212560232,-1.4616172422185911,0,1,0,0,0,0,0,0
24,8,0.15942857142857148,0.08329569726432437,-0.6595547430525921,-0.31282696243613833,-0.2401323032869743,0.6030076826689272,-0.2156738501431303,0.06194770474889582,0,0,0,0,0,0,1,0
25,8,0.1665714285714286,-0.666151450358131,-1.1061756914193712,-0.32041565767236563,0.519003283908235,0.25383611412748835,0.1872231410802969,0.26624233455153895,0,0,0,0,0,0,1,0
26,8,0.8320000000000001,-0.29142787654690333,-0.9306213771626239,-1.0273785058792895,-0.8187336088059606,0.10688525216763589,0.27652817910511573,0.3060053800594802,0,0,0,1,0,0,0,0
28,6,0.18285714285714283,-1.0408750241693587,-0.24063577430630068,-0.9448135017091377,0.4773084674542978,0.055760678977195687,0.8552690184862075,1.1451004838310481,0,0,0,0,0,0,0,1
32,9,-0.5697142857142857,0.45801927107555207,-0.7926062843654321,-0.1452685716202424,0.5276576131766565,-0.29321944874441547,-0.30858693601852577,-0.08546871880352373,0,1,0,0,0,0,0,0
33,2,-0.37742857142857145,0.8327428448867797,-0.34942563882486793,-0.34955624737947777,-0.17521952896925327,0.591882598633028,0.13680332361809147,-0.6067799713539443,0,0,0,0,0,0,0,1
35,4,-0.32485714285714284,-2.1650457456030416,-0.2748119759734832,-0.4054090443181101,-0.5283871519693197,-0.5453283748747249,-0.41451141679629505,-0.5955697078786261,0,0,1,0,0,0,0,0
