,Vote,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social
0,10,-0.5582857142857143,0.4574139968551514,1.5987370816079929,1.6653396745219131,-0.9620726259915207,-0.49661465267002075,-2.2630732091430095,-1.7153699422883184,0,0,1,0,0,0,0,0
1,1,-0.6942857142857143,-0.6652711286659073,2.0755961788882744,1.4064372549222233,-0.8342442909233693,-2.043457617716129,-1.9044999554271849,-1.8494093489571823,0,0,1,0,0,0,0,0
2,2,0.5142857142857142,-0.2910427534922211,-0.2808906970432398,-1.2986676033834557,0.12754901188599868,0.5683916023432105,0.1425298728645734,-0.6960225824652242,0,0,0,0,1,0,0,0
5,8,-0.8260000000000001,-1.0394995038395936,-0.5861056740086272,0.7345672434962677,-0.08075088634261858,0.3408980341741539,-0.035967909812095224,0.8717297615272213,0,0,0,0,0,0,1,0
6,9,-0.3425714285714285,0.8316423720288376,-0.6984235638739433,-0.3873432414357214,0.4317850938335333,0.5501891350214836,-0.20173120666447591,0.03476316854957736,1,0,0,0,0,0,0,0
8,9,-0.8462857142857143,0.8316423720288376,-0.9839987054231688,0.14839028644485758,-0.9796566476226548,0.19050795858985883,-0.0877826951186224,-0.02875391569522672,0,1,0,0,0,0,0,0
9,7,-0.8154285714285714,1.58009912237621,1.7367992886399308,1.9388281459300363,0.312505276861938,-2.1015227087771353,-1.8552563893796088,-1.2327659009107579,1,0,0,0,0,0,0,0
10,3,0.5057142857142858,-2.1621846293606524,-1.0276065742009286,-0.6817991623184672,0.9168144858854306,-0.21999738925603107,0.2258068858897465,-0.08079523847628234,0,0,0,0,0,1,0,0
11,1,0.8102857142857143,0.4574139968551514,1.856479961114208,0.2097732544720138,-0.9128837941359809,-1.9213934841884535,1.249192711178658,-1.8175616240658774,1,0,0,0,0,0,0,0
12,9,-0.37228571428571433,0.08318562168146516,-0.6729294038334267,-0.35574012918411607,0.1242632205471003,0.10971913379477487,-0.3553326115262699,-0.29004916925623014,0,0,1,0,0,0,0,0
14,0,0.8494285714285714,1.2058707472025239,1.0103714556504175,-0.43960992708260704,1.8570291061653263,-0.8047146619072875,1.84438102197728,-1.448344951389879,0,0,0,0,1,0,0,0
15,9,0.1657142857142857,0.08318562168146516,-0.9023633634185444,-0.9279387865857779,-0.3238651188745185,0.10650156204124257,-0.317306614216532,0.06382325593241749,0,0,1,0,0,0,0,0
17,10,-0.276,1.58009912237621,-0.27293310989927516,1.3651101081316621,-0.16142808046703913,-0.21185175922311594,-0.32566785175441726,-0.7612818329109278,0,1,0,0,0,0,0,0
18,9,-0.49428571428571433,1.58009912237621,-0.4085602805863111,-0.22598504330492863,-0.6121183227315958,-0.11978582390627687,-0.33148704994131994,-0.6247990138473466,1,0,0,0,0,0,0,0
19,4,0.5465714285714285,-0.6652711286659073,-0.9507759240437561,-1.3330056003491424,-0.9342328607301202,-0.24228704842735357,-0.18003829950734154,0.011008410135135286,1,0,0,0,0,0,0,0
20,8,0.29428571428571426,0.08318562168146516,-0.8636908730590656,-0.45693086360512164,-1.0879783357314472,0.47127058165406144,-0.004475949082590643,0.1517920962434004,0,0,0,0,0,0,1,0
22,8,0.46685714285714286,-0.2910427534922211,-0.7524711706946893,-0.6404720155279063,1.137099760937755,0.08553201319425366,0.22651109081276335,-0.39411194780259257,0,0,0,1,0,0,0,0
23,1,0.8657142857142857,1.58009912237621,1.4590999195595844,0.15082129507959618,-0.5958718856836669,-1.7227747016730766,-1.5213688374639747,-1.4566069887764523,0,1,0,0,0,0,0,0
24,8,0.15942857142857148,0.08318562168146516,-0.6602382216710556,-0.3135013541555281,-0.24137930689752382,0.597003870409678,-0.21566239333625173,0.06388923057406996,0,0,0,0,0,0,1,0
25,8,0.1665714285714286,-0.6652711286659073,-1.1067230724202217,-0.32109825613908716,0.5167380258550562,0.24847884430294495,0.18681999499094998,0.26777237508117596,0,0,0,0,0,0,1,0
26,8,0.8320000000000001,-0.2910427534922211,-0.9312222543642671,-1.0288256449274409,-0.8192045147604476,0.23753841463261413,0.2760331332790639,0.3074553308258763,0,0,0,1,0,0,0,0
28,6,0.18285714285714283,-0.6652711286659073,-0.24144690899156454,-0.9461713513463195,0.4750991360798374,0.050770174908044315,0.8541784168893302,1.1448603495614709,0,0,0,0,0,0,0,1
32,9,-0.5697142857142857,0.4574139968551514,-0.7932492185404283,-0.1457617583585461,0.5253807467765971,-0.2975637648596517,-0.3084798665976532,-0.08323027038830845,0,1,0,0,0,0,0,0
33,2,-0.37742857142857145,0.8316423720288376,-0.35020362226311674,-0.3502703597559534,-0.17655360229692227,0.5858993861005803,0.13645206226058015,-0.6034915104394786,0,0,0,0,0,0,0,1
35,4,-0.32485714285714284,-2.1621846293606524,-0.27561269623541346,-0.40618355835494774,-0.529247509524499,-0.5492058742912469,-0.41429534532907236,-0.5923038264053508,0,0,1,0,0,0,0,0
36,11,0.4731428571428571,-0.2910427534922211,-1.2614279835263111,-1.254909447958156,-0.7185178718287374,0.0899812075021318,0.12290608716597862,0.21184554284168836,0,1,0,0,0,0,0,0
38,9,-0.5765714285714285,-1.0394995038395936,-0.7627229628754891,-0.13846873245432947,0.37632752178568124,-0.023179743607691258,-0.29989078198179364,-0.304476151140585,0,0,1,0,0,0,0,0
39,4,0.4285714285714286,-1.4137278790132797,-0.2903702553362888,-1.500441320066782,-1.0101688888003637,-0.5183257391783659,-0.4349143311842467,-0.5797174238846167,0,0,0,0,0,0,0,1
40,1,-0.3028571428571428,0.4574139968551514,1.895354724270333,1.3936744595898443,0.3995587398086087,-2.1778619750834816,-1.2207185116841166,-1.8777886328041205,1,0,0,0,0,0,0,0
41,9,0.13742857142857146,0.4574139968551514,-0.8132160656235148,-0.8978550547308844,-0.9799880639474556,0.032373289005607396,-0.25134165214530557,-0.20109180100755045,1,0,0,0,0,0,0,0
42,1,-0.6297142857142857,0.08318562168146516,0.10226389190355169,1.741308694357503,-0.4015398546847289,-0.27255305509347616,-0.03242414657704665,-1.200732910977015,0,0,0,0,0,0,0,1
