,Vote,Yearly_IncomeK,Last_school_grades,Avg_education_importance,Avg_monthly_expense_on_pets_or_plants,Avg_Residancy_Altitude,Most_Important_Issue_Military,Avg_Satisfaction_with_previous_vote,Avg_size_per_room,Number_of_differnt_parties_voted_for,Avg_monthly_household_cost,Phone_minutes_10_years,Most_Important_Issue_Other,Avg_environmental_importance,Political_interest_Total_Score,Overall_happiness_score
0,10,-0.5582857142857143,-0.7880973105800192,-3.779987373272875,-0.5666668482795736,1.8438648579374335,0,1.6625726537725352,-2.2669778053008414,0.4565694037475725,-1.961652561490229,-1.0122338127572286,0,-1.7374652091248586,1.6010214175335524,-0.49282374691991865
1,1,-0.6942857142857143,-0.7880973105800192,-2.345230854138776,-0.5453742348894044,-1.921125687870572,0,0.04704571791759865,-1.9082938638278641,-0.665747988116997,-2.0783496038625486,-1.0194322675282699,0,-2.1201831850512454,2.078221089468298,-2.0411795211835893
2,2,0.5142857142857142,0.2640017023045305,0.2522123123453519,-0.14816568743101013,-0.5918947497380592,0,-1.2955369261653382,0.13936786084258293,-0.29164219082880716,0.10511754651754267,-0.6977646936537368,0,0.2514217898663712,-0.279948798715888,0.5732240820059546
5,8,-0.8260000000000001,-1.314146817022294,0.09189098731622022,-0.2696854068259429,0.7639411222734189,0,0.7336522474418291,-0.039185022204836766,-1.0398537854051868,0.1979901118939965,0.6818896572809126,1,0.1783971955632436,-0.5853817614257234,0.3455080255981826
6,9,-0.3425714285714285,1.3161007151890802,-0.005934889612795433,0.06458573702568296,0.00035167738147234823,0,-0.3860258916939746,-0.20499948842737167,0.8306752010357623,-0.012230080550461285,-0.1897772283071945,0,0.08867966048588809,-0.6977798691724835,0.5550038127088696
8,9,-0.8462857142857143,0.7900512087468053,0.04416211875297061,-0.5690176079105549,-0.03832733127962023,0,0.148641648743843,-0.09101580218557202,0.8306752010357623,-0.02377622869040107,-0.24329242780813495,0,0.016125350442680996,-0.9835589696179773,0.19497086883130152
9,7,-0.8154285714285714,1.3161007151890802,-2.2372012159119508,-0.023815468873250423,-1.3696434187997388,0,1.9355169455445351,-1.8590350968141718,1.578886795612142,-1.9525211468966057,-0.9205739544924848,0,-2.0624625468016307,1.7391822291401386,-2.099301399783448
10,3,0.5057142857142858,-2.366245829906844,0.3249760656186746,0.49033860517757044,-0.036478626208832604,1,-0.6798959125018277,0.22267058059768804,-2.1621711772697565,0.09307968188823129,-0.28581040630645205,0,0.04920634581682537,-1.027197983308198,-0.21593595239495927
11,1,0.8102857142857143,1.3161007151890802,-1.804134051167338,-0.41800644688541566,1.9964730109858273,0,0.20990247867489156,1.401981620276413,0.4565694037475725,-1.8543713052882598,-1.018440889317065,0,-1.8976625727069072,1.8589483780243374,-1.9189960091860194
12,9,-0.37228571428571433,-0.7880973105800192,-0.21185016407067958,-0.15023491985272194,-0.30957978384751794,0,-0.3544856624225435,-0.35864830841236134,0.08246360645938267,-0.2704454088562816,-0.4446929501897727,0,-0.20243954969162606,-0.6722675011019718,0.11410303273281587
14,0,0.8494285714285714,0.2640017023045305,1.5529430833521976,1.618693476341843,-0.9963870267461727,0,-0.4381885785659567,1.8417443533398017,1.2047809983239521,0.8480569831931163,-0.9742351506889705,0,0.7221679454186553,1.0122355785174397,-0.8012250773283952
15,9,0.1657142857142857,-0.7880973105800192,-0.17441905289828433,-0.38669676995409447,0.008386078877167715,0,-0.9255457750966275,-0.32061057288090145,0.08246360645938267,-0.18486133649382855,-0.16469884535377516,0,-0.15165276950174328,-0.9018653233290184,0.11088231420076958
17,10,-0.276,0.7900512087468053,-0.1826179965905392,-0.31147915886508953,-0.720768117940789,0,1.3629404756939396,-0.32897439144405977,1.578886795612142,-0.4009168644508645,-0.7316518325477354,0,-0.3454634713039977,-0.2719855282316927,-0.2077823559527349
18,9,-0.49428571428571433,1.3161007151890802,-0.18833465423026466,-0.4907949257685289,-0.6012536511838645,0,-0.22498875954849457,-0.3347953859556717,1.578886795612142,-0.36145274726852816,-0.6586330306235325,0,-0.1349268856836117,-0.40770956438078276,-0.11562638034174957
19,4,0.5465714285714285,1.3161007151890802,-0.042243479375171936,-0.5626590427490874,-0.0173002935496964,0,-1.3298065983544896,-0.183299884900069,-0.665747988116997,-0.1761075996533479,-0.21000004215486742,0,-0.20464241817662682,-0.9503124603966231,-0.23824741080680759
20,8,0.29428571428571426,-1.314146817022294,0.1206294343082048,-0.5804145620215511,0.13363161055840667,0,-0.4554750503781835,-0.007683340241343429,0.08246360645938267,0.1262482448920146,-0.08650890561062378,1,0.19047756843252445,-0.863165212923877,0.4760080771596301
22,8,0.46685714285714286,-1.8401963234645689,0.32558614754346654,0.7188390013103421,-0.3127691733373458,0,-0.6386509973007255,0.22337500290128945,-0.29164219082880716,0.10777071205040249,-0.5165031125550926,0,0.14209858897000205,-0.7518660770079162,0.08989225717841919
23,1,0.8657142857142857,0.7900512087468053,-1.6313597568185458,-0.48592715681770177,-1.516259606966161,0,0.15106782022626053,-1.5250444773554912,1.578886795612142,-1.67674021036104,-0.9758831585382649,0,-1.7268303954168043,1.4612845260713898,-1.7201829779125204
24,8,0.15942857142857148,-1.314146817022294,-0.07611794664135701,-0.34999254430705484,0.023924101551247016,0,-0.31233093291553454,-0.21893497550859292,0.08246360645938267,-0.006565767802588865,-0.16464148599407474,1,0.10035458448968892,-0.6595672548470745,0.6018643328113583
25,8,0.1665714285714286,-1.314146817022294,0.29106470410337787,0.1314701463964347,0.2650788908769925,0,-0.31991271879809025,0.1836716548595185,-0.665747988116997,0.22870385076665342,0.02180408890919793,1,0.23312368131803304,-1.1063709868436258,0.25299844995060455
26,8,0.8320000000000001,-1.8401963234645689,0.3682754588814491,-0.5423831055347018,0.31367254238536596,0,-1.0262318916169653,0.2729123322964209,-0.29164219082880716,0.33292678142053606,0.060228273055776396,0,0.35457866596693455,-0.9307448254088646,0.4881481377692634
28,6,0.18285714285714283,-0.2620478041377443,0.8388617843503343,0.09827950660378065,1.1404521248944148,0,-0.9437420612147609,0.851236083218702,-1.7880653799815664,0.7941702471505492,0.9382274797929163,0,0.6427427450477088,-0.24047683975468603,0.05509642188632939
32,9,-0.5697142857142857,0.7900512087468053,-0.16578266441398815,0.13845759503434488,-0.1199954892804334,0,-0.14492510062870814,-0.311781100538729,0.4565694037475725,-0.29286651599739466,-0.28777053318313467,0,-0.3134139248576731,-0.7926732486968071,-0.29357818775334343
33,2,-0.37742857142857145,-0.2620478041377443,0.24685296411642538,-0.1344113347909157,-0.5111924672224253,0,-0.3490267765871033,0.13328817408297244,0.8306752010357623,0.12049623164408577,-0.6464907084868523,0,0.2617891988979406,-0.34931122750126536,0.5907489883395948
35,4,-0.32485714285714284,-0.7880973105800192,-0.27063353951330993,-0.46471650344433957,-0.5851986762605481,0,-0.4048287206827125,-0.4176292433851969,-2.1621711772697565,-0.5077588300533125,-0.640034968835136,0,-0.5168963183174222,-0.27466702833899687,-0.5454664026470167
36,11,0.4731428571428571,0.7900512087468053,0.23488385894893618,-0.5197233236546437,0.20600834586519678,0,-1.2518658394818183,0.11973801748965028,-0.29164219082880716,-0.05141240206991289,-0.031167456876068155,0,0.12787236084337716,-1.2611863888094772,0.09434580278911978
38,9,-0.5765714285714285,-0.7880973105800192,-0.05288742237883228,0.022684332902921215,-0.2973202576356473,0,-0.1376465861814548,-0.4680070969701004,-1.0398537854051868,-0.18907456530832867,-0.4549341937197918,0,-0.15260329575224263,-0.7621251910592632,-0.018925819496624488
39,4,0.49942857142857133,-0.2620478041377443,-0.29140975187347573,-0.5727648283266328,-0.5772355129539533,0,-1.496909159206014,-0.4382545941024334,-1.4139595826933766,-0.513028733458234,-0.6327060090424768,0,-0.5168408193740863,-0.28943512734698557,-0.5145560668259229
40,1,-0.3028571428571428,1.3161007151890802,-1.19571087994497,0.040067554854396815,-1.8420250403616545,0,1.3914479906123487,-1.2243013440114803,0.4565694037475725,-1.6413049363749705,-1.019938095842531,0,-1.7485355570593717,1.897850905690157,-2.1757153257342052
41,9,0.13742857142857146,-0.7880973105800192,-0.1103406385642151,-0.2972430767079365,-0.21526727497281362,0,-0.8955219030017076,-0.2546252481261044,0.4565694037475725,-0.20069696441150242,-0.3795133391897568,0,-0.3695238100096673,-0.8126543561810998,0.036681543867564864
42,1,-0.6297142857142857,-0.2620478041377443,0.09513497208581399,0.21931314279141811,-1.0637782362807067,0,1.7383905125980907,-0.03564016504769472,0.08246360645938267,-0.28669704631123466,-0.9108481969588345,0,-0.22149458721612356,0.10347944075467741,-0.2685430175647934
46,9,0.06800000000000006,1.3161007151890802,0.15709748113011468,-0.5169651156715742,0.047382311996059016,0,-0.8218269442232676,0.0326086331886417,1.2047809983239521,0.04002519095896083,-0.17920336802210995,0,0.0393150666902348,-1.168598251631087,0.039362810100683585
47,3,0.9445714285714286,-2.366245829906844,-0.07743473819506115,-0.5467397234525166,-0.15195367759810935,1,-1.1457208371260408,-0.22031402017674862,-0.665747988116997,-0.17169341101449437,-0.32901346318847297,0,-0.14387768934694106,-0.8850830353234013,0.010237967134076998
