,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score,Education,Environment,Financial,Foreign_Affairs,Healthcare,Military,Other,Social,Car,Foot_or_bicycle,Motorcycle_or_truck,Public_or_other,Hightech,Industry_or_other,Public_Sector,Services_or_Retail,Student_or_Unemployed
Vote,1.0,,,,,-0.25640814498646863,,,,,,,,,,,,,,,-0.32646091884572465,,,-0.21750603457106052,,,,,,,-0.4850188290254195,,,,,,,,,,,,,,,,,,,,,
Occupation_Satisfaction,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg_monthly_expense_when_under_age_21,,,1.0,0.721584714725948,,0.8797077964159908,,,,,,,,,,,,,,,,,,,,,,0.9577661816725851,,,,,,,,,,,,,,,,,,,,,,,,
Avg_lottary_expanses,,,0.721584714725948,1.0,,0.705577493838149,,0.30444080013942726,-0.42431063717527895,,,,,,0.2839503779639567,,0.46468250867497013,,,0.24670180129695904,,0.3248009921321378,,0.4592277205507815,,0.48252036932222214,,0.7272462789457038,,,,,,,0.2475682994846529,,,,,,,,,,,,,,,,,
Age_group,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg_monthly_expense_on_pets_or_plants,-0.25640814498646863,,0.8797077964159908,0.705577493838149,,1.0,,,,,,,,,,,,,,,,,,,,,,0.8780176528597614,,,,,,,,,,,,,,,,,,,,,,,,
Looking_at_poles_results,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg_environmental_importance,,,,0.30444080013942726,,,,1.0,-0.5821614531157759,,,,,,0.9275689183018304,,0.8362667351614842,,,0.8872583677612388,,0.9550343411559796,,0.7548745427278827,,0.7873204795661796,,,,,,,,,0.8650803110547571,,,,,,,,,,,,,,,,,
Married,,,,-0.42431063717527895,,,,-0.5821614531157759,1.0,,,,,,-0.5431349277174196,,-0.760949770676428,,,-0.46772828936732724,-0.29070272252417617,-0.6040903892929026,,-0.7640222764441554,,-0.7700220672880316,,,,,-0.21547462213185772,,,,-0.48633459913218824,,,,,,,,,,,,,,,,,
Gender,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting_Time,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial_balance_score_(0-1),,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Of_Household_Income,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly_IncomeK,,,,,,,,,,,,,,1.0,,,,,,,-0.5849304926229759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg_size_per_room,,,,0.2839503779639567,,,,0.9275689183018304,-0.5431349277174196,,,,,,1.0,,0.7791326973773629,,,0.9270593673252037,,0.9405948600023457,,0.6937878103207552,,0.7152565966942257,,,,,,,,,0.7131924960062235,,,,,,,,,,,,,,,,,
Garden_sqr_meter_per_person_in_residancy_area,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg_Residancy_Altitude,,,,0.46468250867497013,,,,0.8362667351614842,-0.760949770676428,,,,,,0.7791326973773629,,1.0,,,0.7242569579301292,,0.8516017605851297,,0.9234143284214505,,0.9693800053069485,,,,,,,,,0.7328120393433072,,,,,,,,,,,,,,,,,
Yearly_ExpensesK,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Time_invested_in_work,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg_education_importance,,,,0.24670180129695904,,,,0.8872583677612388,-0.46772828936732724,,,,,,0.9270593673252037,,0.7242569579301292,,,1.0,,0.8986251865166983,,0.5969755622887983,,0.6601831359307295,,,,,,,,,0.6927070974411091,,,,,,,,,,,,,,,,,
Avg_Satisfaction_with_previous_vote,-0.32646091884572465,,,,,,,,-0.29070272252417617,,,,,-0.5849304926229759,,,,,,,1.0,,,0.3017324981586137,,,,,,0.23890913514311624,0.6535133614442792,,,,,,,,,,,,,,,,,,,,,
Avg_monthly_household_cost,,,,0.3248009921321378,,,,0.9550343411559796,-0.6040903892929026,,,,,,0.9405948600023457,,0.8516017605851297,,,0.8986251865166983,,1.0,,0.7712901274073577,,0.8028464683499278,,,,,,,,,0.8193318976706211,,,,,,,,,,,,,,,,,
Will_vote_only_large_party,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone_minutes_10_years,-0.21750603457106052,,,0.4592277205507815,,,,0.7548745427278827,-0.7640222764441554,,,,,,0.6937878103207552,,0.9234143284214505,,,0.5969755622887983,0.3017324981586137,0.7712901274073577,,1.0,,0.9290938206756332,,,,,0.3520140787192728,,,,0.661423420758302,,,,,,,,,,,,,,,,,
Avg_government_satisfaction,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighted_education_rank,,,,0.48252036932222214,,,,0.7873204795661796,-0.7700220672880316,,,,,,0.7152565966942257,,0.9693800053069485,,,0.6601831359307295,,0.8028464683499278,,0.9290938206756332,,1.0,,,,,,,,,0.7063867977259269,,,,,,,,,,,,,,,,,
%_satisfaction_financial_policy,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Avg_monthly_income_all_years,,,0.9577661816725851,0.7272462789457038,,0.8780176528597614,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Last_school_grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6304821196136037,,,,,,0.60537343171711,0.36337729317069256,-0.3637195658098038,-0.40162162285597314,,-0.47067753211412683,-0.2809242747120606,,,,,,,,,,
Number_of_differnt_parties_voted_for,,,,,,,,,,,,,,,,,,,,,0.23890913514311624,,,,,,,,0.6304821196136037,1.0,0.3104400341768117,,,,,0.41988434901229593,0.2347573335380593,-0.27212440730157283,-0.22614616645198332,,-0.2795387737157774,,,,,,,,,,,
Political_interest_Total_Score,-0.4850188290254195,,,,,,,,-0.21547462213185772,,,,,,,,,,,,0.6535133614442792,,,0.3520140787192728,,,,,,0.3104400341768117,1.0,,,,,,,,,,,,,,,,,,,,,
Number_of_valued_Kneset_members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Financial_agenda_matters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Num_of_kids_born_last_10_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Overall_happiness_score,,,,0.2475682994846529,,,,0.8650803110547571,-0.48633459913218824,,,,,,0.7131924960062235,,0.7328120393433072,,,0.6927070974411091,,0.8193318976706211,,0.661423420758302,,0.7063867977259269,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60537343171711,0.41988434901229593,,,,,,1.0,-0.21559392200722938,-0.21865344962318264,,-0.20654909499979865,,,-0.20633474002074104,,,,,,,,,
Environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36337729317069256,0.2347573335380593,,,,,,-0.21559392200722938,1.0,-0.21811887622622872,,-0.20604411485182603,,,-0.20583028393708042,,,,,,,,,
Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3637195658098038,-0.27212440730157283,,,,,,-0.21865344962318264,-0.21811887622622872,1.0,,-0.20896811963645423,,,-0.20875125421319551,,,,,,,,,
Foreign_Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40162162285597314,-0.22614616645198332,,,,,,,,,1.0,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20654909499979865,-0.20604411485182603,-0.20896811963645423,,1.0,,,,,,,,,,,,
Military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47067753211412683,-0.2795387737157774,,,,,,,,,,,1.0,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2809242747120606,,,,,,,,,,,,,1.0,,,,,,,,,,
Social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20633474002074104,-0.20583028393708042,-0.20875125421319551,,,,,1.0,,,,,,,,,
Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.32184477471187173,-0.3253041814084502,-0.32666324734068214,,,,,
Foot_or_bicycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32184477471187173,1.0,-0.33180174905016935,-0.33318796072268514,,,,,
Motorcycle_or_truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3253041814084502,-0.33180174905016935,1.0,-0.3367692917030295,,,,,
Public_or_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32666324734068214,-0.33318796072268514,-0.3367692917030295,1.0,,,,,
Hightech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.24210650323465877,-0.25525844036655293,-0.24864479962195246,-0.25201192464712224
Industry_or_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24210650323465877,1.0,-0.2447899944222399,-0.23844758678759545,-0.24167662209375296
Public_Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25525844036655293,-0.2447899944222399,1.0,-0.2514007608196641,-0.2548052068180595
Services_or_Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24864479962195246,-0.23844758678759545,-0.2514007608196641,1.0,-0.2482033091674622
Student_or_Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25201192464712224,-0.24167662209375296,-0.2548052068180595,-0.2482033091674622,1.0
